1,1
2,3
3,6
4,2
5,5
6,1
7,1
8,2
9,6
10,2
11,5
12,1
13,1
14,6
15,6
16,5
17,2
18,0
19,3
20,1
21,1
22,5
23,0
24,1
25,6
26,6
27,1
28,6
29,1
30,5
31,3
32,3
33,5
34,1
35,1
36,6
37,4
38,2
39,6
40,0
41,3
42,1
43,6
44,2
45,2
46,1
47,3
48,3
49,1
50,2
51,0
52,6
53,1
54,5
55,5
56,1
57,2
58,2
59,0
60,2
61,2
62,2
63,5
64,2
65,6
66,3
67,3
68,6
69,4
70,2
71,0
72,1
73,6
74,0
75,2
76,2
77,5
78,5
79,4
80,2
81,2
82,1
83,4
84,5
85,1
86,4
87,5
88,1
89,2
90,2
91,1
92,5
93,1
94,5
95,1
96,5
97,6
98,6
99,5
100,2
101,0
102,1
103,3
104,5
105,3
106,3
107,2
108,1
109,2
110,3
111,1
112,1
113,6
114,5
115,1
116,5
117,5
118,3
119,3
120,2
121,1
122,1
123,2
124,0
125,4
126,2
127,5
128,2
129,3
130,6
131,5
132,6
133,2
134,0
135,1
136,2
137,1
138,1
139,3
140,6
141,5
142,2
143,3
144,1
145,2
146,3
147,0
148,6
149,5
150,2
151,3
152,0
153,2
154,1
155,1
156,1
157,5
158,3
159,2
160,2
161,5
162,6
163,1
164,5
165,0
166,5
167,3
168,1
169,3
170,2
171,5
172,2
173,4
174,3
175,4
176,1
177,1
178,4
179,2
180,2
181,3
182,6
183,3
184,6
185,2
186,0
187,3
188,0
189,1
190,6
191,6
192,3
193,5
194,5
195,0
196,2
197,1
198,4
199,3
200,3
201,5
202,2
203,6
204,4
205,2
206,1
207,5
208,1
209,1
210,3
211,3
212,4
213,5
214,5
215,1
216,6
217,6
218,5
219,0
220,0
221,0
222,5
223,3
224,3
225,2
226,2
227,1
228,1
229,3
230,1
231,1
232,5
233,2
234,6
235,3
236,3
237,3
238,4
239,0
240,0
241,2
242,3
243,2
244,6
245,3
246,3
247,0
248,1
249,5
250,1
251,4
252,2
253,4
254,5
255,6
256,1
257,6
258,3
259,1
260,3
261,1
262,2
263,1
264,1
265,5
266,2
267,5
268,2
269,6
270,5
271,1
272,2
273,2
274,6
275,2
276,5
277,6
278,2
279,1
280,1
281,6
282,0
283,6
284,5
285,1
286,2
287,5
288,0
